Description,Category,Categories
p1804 view two copperbelt university cbu engineering student died speeding hilux hit left campus boarding house last night third year student thabo mumbi died spot accident second year student bwalya christian henscel died minute arriving hospital cbu 8230p pthe post hrefhttpszambianeyecom2cbustudentsdieinaroadaccident2 cbu student die road accidenta first appeared hrefhttpszambianeyecomzambian eyeap,health,"education, health and wellness, development"
p900 viewsarmed robber stolen truck laden 329 ton copper cathode valued 52 million kwacha near michael chilufya sata toll plaza ndola copperbelt police commissioner peace say cathode belonging sico mining kolwezi democratic republic congo wa delivered bill trans 8230p pthe post hrefhttpszambianeyecom32tonnesofcoppercathodesstolen32 tonne copper cathode stolena first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p2261 view state ha instituted proceeding economic financial crime court tainted property belonging family member former president edgar lungu forfeited state among property 15 flat belonging lungu’s wife esther crest lodge ibex hill belonging charles phiri lawyer chiyeso 8230p pthe post hrefhttpszambianeyecomstateclosesinonpropertiesillegallyobtainedbylungusfamilystate close property illegally obtained lungu’s familya first appeared hrefhttpszambianeyecomzambian eyeap,local news,"politics, economy news"
p952 viewsthe economic financial crime court efcc ha found kitwe based taxpayer case answer false return tax evasion focus equipment service limited registered taxpayer zambia revenue authority jointly whilst acting together xing tang director edward mwamulima accountant kennedy 8230p pthe post hrefhttpszambianeyecomtaxpayerincourtforfalsereturnstaxpayer court false returnsa first appeared hrefhttpszambianeyecomzambian eyeap,economy,economy news
p1111 viewsgoods worth k800 000 burnt ash kitwe’s chisokone market fire swept six shop around 0300 hour june 7th 2023 shop contained electrical good phone accessory kitwe town clerk patrick kambita said preliminary investigation revealed fire could started 8230p pthe post hrefhttpszambianeyecominfernosweepsthroughchikoswemarketinferno sweep chikoswe marketa first appeared hrefhttpszambianeyecomzambian eyeap,business,"local news, economy news"
p821 viewsimboela blast matambo harassing kitwe mayor copperbelt minister elisha matambo ha come fire storming office kitwe mayor mpasa mwaya intimidatingly threatening unknown reprisal social medium posting said ‘he resign press conference’ saboi imboela president 8230p pthe post hrefhttpszambianeyecomimboelablastsmatamboforharrasingkitwemayorimboela blast matambo harrasing kitwe mayora first appeared hrefhttpszambianeyecomzambian eyeap,politics,politics
p690 view drug enforcement commission dec ha arrested two zambian national drug trafficking commission lusaka ha formally jointly charged arrested masauso mbao male aged 43 kitwe sunday simuntala male aged 23 also kitwe trafficking narcotic drug namely 32 kilogrammes cocaine contrary 8230p pthe post hrefhttpszambianeyecom2peoplearrestedfordrugtrafficking2 people arrested drug traffickinga first appeared hrefhttpszambianeyecomzambian eyeap,technology,narcotics
p989 viewssamuel 8221 zoom8221 ndhlovu got involved coaching wanderer early 1966 became player coach replacing harry mcquillan wa involved playercoach coach technical advisor ndhlovu wa first appointed national team trainer 1967 trip tanzania july wa unable 8230p pthe post hrefhttpszambianeyecomtheunprecedentedcoachingcareeroflegendarysamuelzoomndhiovuthe unprecedented coaching career legendary ” samuel zoom” ndhiovua first appeared hrefhttpszambianeyecomzambian eyeap,sports,career
p899 viewsa shortage potato ha emerged retailer trader zambia confirming deficit ha resulted market price potato going according fruit 38 veg trader association president bernard sikunyongana zambia exporting quantity potato demand region massive 8230p pthe post hrefhttpszambianeyecomshortageofpotatoesemergepotatoes shortage hit zambiaa first appeared hrefhttpszambianeyecomzambian eyeap,business,"politics, local news, economy news"
p847 viewssocialist party president fred m8217membe detained serenje police station ha released police bond charged police deputy spokesperson danny mwale ha confirmed development saying dr m8217membe slapped two account assault oabh threatening violence suspect jointly charged dr m8217membe 8230p pthe post hrefhttpszambianeyecompolicereleasemmembeonbondpolice release m’membe bonda first appeared hrefhttpszambianeyecomzambian eyeap,local news,"politics, development"
p1710 viewslusaka zambia april 4th 2023 yango deli new food grocery delivery service available lusaka service launched zambia following ivory coast part yango continued expansion africa yango deli enables user order readymade food grocery supermarket home office 8230p pthe post hrefhttpszambianeyecomnewyangodeliservicelaunchednew yango deli service launcheda first appeared hrefhttpszambianeyecomzambian eyeap,business,economy news
p1845 viewspresident hakainde hichilema say united party national development upnd allow former president edgar lungu come back power addressing upnd party structure copperbelt kitwe yesterday president hichilema told member lungu8217s reign wa oppressive never bounce back power president hichilema however warned 8230p pthe post hrefhttpszambianeyecomweshallnotallowlungutocomebackhhwe shall allow lungu come back – hha first appeared hrefhttpszambianeyecomzambian eyeap,local news,"politics, development"
p1486 view dr fred m8217membe president socialist party zambia ha warned violence ruling party upnd get worse loses popularity commenting violence youth day commemoration kitwe upnd cadre beat counterpart pf chanting alebwelelapo dr m8217membe asked zambian 8230p pthe post hrefhttpszambianeyecomtheupndviolencewillgetworsebuttheywillpayhighlymmembethe upnd violence get worse pay highly – m’membea first appeared hrefhttpszambianeyecomzambian eyeap,local news,politics
p980 viewsby nkonkomalimba kapumpe know celebrate youth day zambia 12 march age un day unip youth lead alexander chikwanda fought running battle imperialist police 1962 kitwe nothing stick stone 8230p pthe post hrefhttpszambianeyecomwhydowecelebrateyouthdayon12thwhy celebrate youth day 12tha first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p2190 view pf member beaten suspected upnd cadre kitwe youth celebration report asa manda information reaching u pf member chanted alebwelelapo upnd remark angered ruling party cadre eye witness tell zambian eye event started peaceful turned 8230p pthe post hrefhttpszambianeyecomupndcadresbeatuppfmembersatyouthcelebrationupnd cadre beat pf member youth celebrationa first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p1387 view socialist party president fred m8217membe ha come strong party doe support lgbtqi practice report asa manda economic front leader wynter kabimba yesterday said political party zambia support lgbtqi practice naming upnd socialist party kabimba worked dr m8217membe 8230p pthe post hrefhttpszambianeyecomwedontsupportlgbtqipracticesdeniesmmembewe don’t support lgbtqi practice denies m’membea first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, career, economy news"
p4158 viewsby isaac pombolola street rich story kopala richman three 3 week ago received several notification people tagging kopala richman post said buy book k200 000 used see 8230p pthe post hrefhttpszambianeyecomkopalarichmanranawayfromgoodlifekopala richman ran away good lifea first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p1008 viewswellington bwalya aged 46 unknown house number ndola wa found lifeless foam coming mouth near vihecle suspected bwalya wa feeling well time death copperbelt province commanding officer peacewell mweemba said deceased wa found near toyota fortuner bearing 8230p pthe post hrefhttpszambianeyecommanfounddeadnearhiscarman found dead near cara first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p724 viewsinmate zamtan police post kitwe ha taken life hanging burglar bar using pair sock suspect wa taken police attempted steal goat farm within zamtan compound copperbelt province commanding officer peacewell mweemba said philison kahalu 32 committed suicide 8230p pthe post hrefhttpszambianeyecominmatehangsselfinpolicecellsinmate hang self police cellsa first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p1185 viewsa 7yearold girl kitwe district ha beaten mother using metal bar going visit maternal grandmother girl sustain bruise forehead cut upper lip loose tooth swollen hand leg general body pain copperbelt police commanding officer peacewell mweemba said 8230p pthe post hrefhttpszambianeyecomdaughterbeatenforvisitinggrandmotherdaughter beaten visiting grandmothera first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p838 viewspoice recorded vandalism chingola mineral link company next zalawi haulage ltd along chingolakitwe road copperbelt province police commanding officer peacewell mweemba said incident occurred 25th january 2023 around 04 00hrs dickson m8217hango aged 43 plot no222 david kaunda road mwaiseni chingola chief security reported 8230p pthe post hrefhttpszambianeyecomunknowncriminalsvandalisecablesinchingolaunknown criminal vandalise cable chingolaa first appeared hrefhttpszambianeyecomzambian eyeap,business,"development, business news"
p1175 viewscatholic diocese ndola bishop benjamin phiri concerned manner christian dance mass call regulation selfcontrol express church bishop phiri say singing dancing church entertainment purpose hence differentiated move demonstrated place 8230p pthe post hrefhttpszambianeyecomtrouserippingdancenotallowedinchurchbishoptrouse ripping dance allowed church – bishopa first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p5359 viewsdo wonder make career dream come true may need list university zambia ensure won8217t miss crucial opportunity material offer overview top university zambia judge advancement many point view student different expectation 8230p pthe post hrefhttpszambianeyecomtoprankinguniversitiesinzambiatheultimatelistforallfacultiestop ranking university zambia ultimate list facultiesa first appeared hrefhttpszambianeyecomzambian eyeap,education,"education, career"
p1384 viewsa newly recruited zambian teacher also recently got married ha died 2 week wedding grace mkandawirewho wa still celebrating among 30000 newly recruited teacher achieved another life milestone marriage december 31st 2022 unfortunately death knocked door wrong time according 8230p pthe post hrefhttpszambianeyecomnewlyweddedbridedies14aftermarriagenewly wedded bride dy 14 marriagea first appeared hrefhttpszambianeyecomzambian eyeap,education,education
p852 view issued 04th december 2023 kitwe zambia three unfortunate thing happened last 16 month energy sector upnd government 1 subsidy fuel removed new government 2 tax fuel introduced new government resulting cost going 8230p pthe post hrefhttpszambianeyecomupndpoliciesintheenergysectorarekillingmicrosmallandmediumenterprisesupnd policy energy sector killing micro small medium enterprisesa first appeared hrefhttpszambianeyecomzambian eyeap,politics,politics
p703 view road transport safety agency rtsa ha apprehended 68 motorist drink driving new year eve across country livingstone kitwe recording highest number rtsa public relation manager say happened combined operation rtsa zambia police service drive sober campaign 8230p pthe post hrefhttpszambianeyecomrtsanabsmotoristsrtsa nabs motoristsa first appeared hrefhttpszambianeyecomzambian eyeap,technology,development
p963 view amb emmanuel mwamba hondr mumba malila zambia8217s nineth chief justice since independence inaugural address adjudicator support staff investiture ceremony held 22nd december 2022 admiration spoke candidly challenge difficulty current judiciary recognised judiciary 8230p pthe post hrefhttpszambianeyecomjudiciaryonthecrossroadsjudiciary crossroadsa first appeared hrefhttpszambianeyecomzambian eyeap,technology,development
p740 view 25yearold man suspected mental patient ha nabbed police breaking shoprite store kitwe copperbelt commanding officer peacewell mweemba said zebron mbazima entered shop breaking door using paving brick started enjoying beverage 8220police officer went 8230p pthe post hrefhttpszambianeyecommentalsuspectbreakintoshopritemental suspect break shopritea first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p806 viewsa 48 year old woman mufulira copperbelt province ha died wa badly beaten boyfriend run reported gift chomba chibolya compound wa beaten december 16 2022 around 1900 hour lover identified henry residing 8230p pthe post hrefhttpszambianeyecom48yearoldwomanbeatentodeathbyboyfriend48 year old woman beaten death boyfrienda first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p827 viewsa19 year old man kitwe’s chimwemwe township ha committed suicide gruesomely stabbing 17year old niece wa lover emmanuel sonta found girlfriend wa secret affair another man copperbelt police commanding officer peacewell mweemba said incident occurred yesterday 1800 1900hours mweemba said 8230p pthe post hrefhttpszambianeyecommanstabsniecelovertodeathman stab niecelover deatha first appeared hrefhttpszambianeyecomzambian eyeap,local news,local news
p949 viewsyango international ridehailing service ha today launched zambia new safety technology service — driving style monitoring algorithm aggregate feedback yango user ride real time progressive impact scale user inform dangerous driving style particular driver regularly considered 8230p pthe post hrefhttpszambianeyecomyangolaunchesnewtechnologyserviceyango launch new technology servicea first appeared hrefhttpszambianeyecomzambian eyeap,fashion,fashion
p17198 viewsthe pregnant married woman copperbelt identified martha ha caught redhanded husband matrimonial bed another man believed pastor apparently sex video recorded aggrieved hubby ha since gone viral according source alleged martha told husband 8230p pthe post hrefhttpszambianeyecompregnantwomancaughtcheatingwithpastorpregnant woman caught cheating pastora first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p828 view zesco board chairman vickson ncube say implementation cost reflective tariff electricity academic exercise defeat main objective government start impact ability industry work efficiently create job pay tax meet government’s objective plenary session 8230p pthe post hrefhttpszambianeyecomzescochairpersonwarnsagainstrushedmigrationtocostreflectivetariffszesco chairperson warns rushed migration costreflective tariffsa first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, career, local news, business news"
p951 viewsa 58 year old woman kitwe8217s kafue park ha died house collapsed heavy downpour last night according report nephew savior mulenga said neighbor8217s perimeter fence fell auntie8217s house later collapsed killing lady theresa mulenga8217s body ha since deposited 8230p pthe post hrefhttpszambianeyecomwomandiesafterhousecollapsedonherwoman dy house collapsed hera first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p988 view president hakainde hichilema expected copperbelt province twoday working visit tomorrow president expected touch simon mwansa kapwewe international airport 0900 hour proceed chifubu township inspect mini hospital construction copperbelt province permanent secretary augustine kasongo said today 8230p pthe post hrefhttpszambianeyecomtourofdutypresidenthichilemadateskitwendolatour duty president hichilema date kitwe ndolaa first appeared hrefhttpszambianeyecomzambian eyeap,health,"politics, health and wellness, development, career, local news"
p1017 viewsthe zambia national union teacher znut leadership ha angered teacher member across country referring empty box making noise statement sit well among member attending copperblet province quadrennial conference moba hotel kitwe teacher protested foced acting general secretary 8230p pthe post hrefhttpszambianeyecomznutangersteachermembersforreferringthemasemptyboxesznut anger teacher member referring empty boxesa first appeared hrefhttpszambianeyecomzambian eyeap,education,education
p1218 viewsthree criminal chingola copperbelt run robbed two indian national k300000 whilist armed ak47 pistol copperbelt province commanding officer sharon zulu said incident occurred friday 1800 hour decent distributor wholesale said jay patel businessman 8230p pthe post hrefhttpszambianeyecomcriminalstriosnatchesover300000atgunpointruntokitwecriminals trio snatch 300000 gunpoint run kitwea first appeared hrefhttpszambianeyecomzambian eyeap,business,business news
p1333 viewsthe renowned comedian brighton sinkala ha put rest today october 13 2022 thousand people gathered chainama seventh day adventist sda church lusaka earlier today later proceeded leaopards hill memorial park pay last respect among wa former minister health dr chitalu chilufya 8230p pthe post hrefhttpszambianeyecomrenowenedcomediansinkalaputtorestrenowened comedian sinkala put resta first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, health and wellness"
p937 viewspopular comedian brighton sinkala buried thursday 13th october 2022 lusaka family source ha told zambian eye sinkala burial proceeded church service chainama sda sinkala wa senior decon chainama sda honored church service music session running 8230p pthe post hrefhttpszambianeyecompopularcomediansinkalaburialsetpopular comedian sinkala burial seta first appeared hrefhttpszambianeyecomzambian eyeap,entertainment,uncategorized
p2197 viewsthe increase road traffic accident happening zambian road continuously part country worry citizen many people say condition major road country bad state situation caring siting government would declare national disaster concerned member say 8230p pthe post hrefhttpszambianeyecomshouldroadaccidentsinzambiadeclaredadisastershould road accident zambia declared disastera first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, development"
p1052 viewsa mine accident mopani copper mine ha killed one miner nkana mine plant south ore body sob shaft wusakile township kitwe copperbelt police commanding officer sharon zulu confirmed incidence said kennedy sapitu 53 chamboli township senior security officer mopani copper mine reported one man 8230p pthe post hrefhttpszambianeyecommopaniaccidentclaimalifemopani accident claim lifea first appeared hrefhttpszambianeyecomzambian eyeap,local news,local news
p940 viewskitwe census enumerator arm government non payment due group aggrieved census enumarators stormed kitwe district commissioner8217s office protesting non payment 40 allowance 8220it8217s long due zambia statistical agency hasn8217t settled salary tasked conduct 8230p pthe post hrefhttpszambianeyecomenumeratorsprotestovernonpaymentofduesenumerators protest non payment duesa first appeared hrefhttpszambianeyecomzambian eyeap,politics,politics
p562 view vedanta ha set eye zambia prospect investing electric car battery manufacturing sector follows recent signing memorandum understanding vedanta state gujurat india set semiconductor fabrication plant commonly referred fab unit 8230p pthe post hrefhttpszambianeyecomminingconcernvedantaventuresintosemiconductormanufacturingmining concern vedanta venture semiconductor manufacturinga first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p920 view zambia revenue authority zra say ha prosecuted five 5 company copperbelt value added tax vat fraud charge currently authority prosecuting changesheng mining equipment company limited director wang qi aged 33 appeared kitwe subordinate court 20th september 2022 plea 8230p pthe post hrefhttpszambianeyecomzraprosecutes5copperbeltcompaniesforfraudzra prosecutes 5 copperbelt company frauda first appeared hrefhttpszambianeyecomzambian eyeap,business,business news
p1001 viewsa registered taxpayer ha found case answer kitwe magistrate court forty 40 count false tax return statement tax evasion kennedy likomeno director liko’s industry logistics company limited accused provided various tax invoice zambia revenue authority purporting 8230p pthe post hrefhttpszambianeyecomfalsifiedreturnslandsmaninserioustroublefalsified return land man serious troublea first appeared hrefhttpszambianeyecomzambian eyeap,business,business news
p853 view 27 year old student nurse ha raped fiance left sleeping lodge mercy mwila nkana school nursing based chimwemwe township kitwe wa drunk say accused gained access room window fiance left suspect michael zulu 8230p pthe post hrefhttpszambianeyecomdrunkstudentnurserapedatlodgedrunk student nurse raped lodgea first appeared hrefhttpszambianeyecomzambian eyeap,education,"education, local news"
p3997 viewsthree woman kitwe arrested police captured circulated video one sex mentally challenged man matter alleged occurred yesterday september 4th1400 hour mindolo market concerned member public reported 8230p pthe post hrefhttpszambianeyecom3womenarrestedforporn3 woman arrested porna first appeared hrefhttpszambianeyecomzambian eyeap,business,economy news
p782 view constitutional court ha ruled former kabushi law maker bowman lusambo kwacha counterpart joseph malanji eligible recontest seat nullification disqualification lusambo popularly known bulldozer malanji popularly known bonanza contested decision electoral commission zambia ecz bar 8230p pthe post hrefhttpszambianeyecomlusambomalanjieligibletorecontestlostseatsconcourtlusambo malanji eligible recontest lost seat con courta first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p622 view 800 police officer deployed kabushi kwacha constituency ahead september 15 2022 parliamentary byelections deputy inspector general police charge operation milner muyambango say order police ensure election held peaceful manner deputy inspector general 8230p pthe post hrefhttpszambianeyecom800policeofficerssenttokabushikwachaaheadofbyelections800 police officer sent kabushi kwacha ahead byelectionsa first appeared hrefhttpszambianeyecomzambian eyeap,politics,politics
p632 viewsthe international monetary fund imf ha never popular zambia presided destruction zambia’s industrial base social fabric 1980s mid2000s wa application washington consensus’s structural adjustment programme sap flagship privatisation programme current level high unemployment high 8230p pthe post hrefhttpszambianeyecomunpackingthedealhowitaffectscommonpersononstreetsunpacking deal affect common person streetsa first appeared hrefhttpszambianeyecomzambian eyeap,technology,career
p1054 viewsby shalala oliver sepiso 03092022 problem hand proud praise singer one belief president hakainde hichilema upnd indeed developed free great zambia duty sometimes steer debate help country move 8220forward8221 debate sometimes uncomfortable 8230p pthe post hrefhttpszambianeyecomthecaseofplunderingpensionsmoneyatnapsathe case plundering pension money napsaa first appeared hrefhttpszambianeyecomzambian eyeap,local news,politics
p1054 viewspolice lusaka apprehended detained patriot economic progress pep president sean tembo police spokesperson rae hamoonga ha confirmed development znbc news lusaka evening hamoonga said comprehensive statement issued soon officer finish formality meanwhile tembo ha reported livingstone 8230p pthe post hrefhttpszambianeyecomseantembodetainedsean tembo detaineda first appeared hrefhttpszambianeyecomzambian eyeap,local news,"politics, development, economy news"
p1988 viewsa 5 year old girl found dead hanging onto tree neighbour yard kitwe circumstance around death remain unclear full statement police suspected suicide occurred 260822 around 1400hrs hse h468 f elizabeth mwape aged 27 hse h461 chamboli tship 8230p pthe post hrefhttpszambianeyecom5yearoldfoundhangingontoatree5 year old found hanging onto treea first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p760 view government say health worker whose name appeared newspaper 2022 recruitment exercise receive appointment letter september1st 2022 health minister sylvia masebo say need health worker received appointment letter panic speaking met copperbelt human resource 8230p pthe post hrefhttpszambianeyecomrecruitedhealthworkersyettoreceiveappointmentlettersrecruited health worker yet receive appointment lettersa first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, health and wellness, career"
p1072 viewsthe drug enforcement commission dec northwestern province ha arrested 41 yearold congolese national trafficking heroin contrary law zambia statement issued dec public relation officer mathias kamanga nzani mpemba clarisse aged 41 lubumbashi village congo ha arrested trafficking 02 gram 8230p pthe post hrefhttpszambianeyecomdecarrestscongolesedrugtraffickerdec arrest congolese drug traffickera first appeared hrefhttpszambianeyecomzambian eyeap,technology,"narcotics, local news"
p786 view lusaka high court ha given seven member notorious kitwe gang tokota boy four year non custodial sentence abducting cathdeck nkonde fellow kitwe resident instead seven must visit welfare department every month counseling reformed seven among three juvenile also 8230p pthe post hrefhttpszambianeyecomjuvenileabductorsgetleniencyfromhighcourtjuvenile abductor get leniency high courta first appeared hrefhttpszambianeyecomzambian eyeap,local news,uncategorized
p1290 viewsby ankita anand zefania zulu stroll garden path social medium often bring u face face appeal help eradicate hunger africa expected feel guilt compassion moved enough contribute sum encouraged think 8230p pthe post hrefhttpszambianeyecomwhomovedmycopperwhyzambiasrichnaturalresourcesfailtoserveitsowncitizenswho moved copper zambia’s rich natural resource fail serve citizensa first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p708 viewscommunity development social service minister doreen mwamba say social cash transfer programme politicized reacting claim distributing social cash transfer beneficiary ahead kabushi kwacha parliamentary byelections ndola kitwe respectively mwamba emphazised campaign trailbut simply fufiling 8230p pthe post hrefhttpszambianeyecomimnottryingtobuyvotessaysmwambaasshedistributecashaheadofkabushibyelectioni’m trying buy vote say mwamba distribute cash ahead kabushi electiona first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, development, local news"
p1299 view two security guard kitwe run stealing undisclosed amount money six automated teller machine atm belonging zanaco carol muluti munthali chingi authorized atm custodian zanaco bank business center believed carried robbery sunday evening reported 8230p pthe post hrefhttpszambianeyecomsecurityguardsontherunafterstealingmoneyfromzanacoatmssecurity guard run stealing money zanaco atmsa first appeared hrefhttpszambianeyecomzambian eyeap,business,business news
p1340 view kitwe mayor mwaya mpasa say growing number new hiv infection among adolescent due rampant prevalence unprotected sex among youth mwaya ha also observed need curb spread hiv among youth ensure hiv infected people put 8230p pthe post hrefhttpszambianeyecomrampantunprotectedsexinadolescenceblamedforhivaidsupsurgerampant unprotected sex adolescence blamed hiv aid upsurgea first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p1145 view police ha arrested detained cosmas mwewa kitwe threw 2yearold daughter kafue river bulangililo bridge following marital dispute wife anet katungu katungu 27 attributed jealousy husband’s action marital dispute husband currently police 8230p pthe post hrefhttpszambianeyecomjealousymanthrows2yearolddaughterinkafueriverjealousy man throw 2yearold daughter kafue rivera first appeared hrefhttpszambianeyecomzambian eyeap,technology,development
p880 viewselectoral expert macdonald chipenzi ha observed joseph malanji technically knocked race kwacha seat byelection report martha banda zambian eye malanji seat nullified appeal high court ruling failed constitutional court today account grade 12 8230p pthe post hrefhttpszambianeyecomjoemalanjiistechnicallyknockedoutchipenzijoe malanji technically knocked – chipenzia first appeared hrefhttpszambianeyecomzambian eyeap,politics,politics
p458 view 17year uncle ndola ha connived two teenager defile seven year old niece kaloko compound copperbelt police commanding officer sharon zulu ha confirmed police ndola arrested three teenager defiling seven year old girl kaloko compound zulu said minor sustained bruise 8230p pthe post hrefhttpszambianeyecom17yearuncleofndolahasconnivedwithtwootherteenagerstodefilehissevenyearoldniece17year uncle ndola ha connived two teenager defile seven year old niecea first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p1253 view red arrow striker ricky banda wa big winner wednesday evening walked away two award long awaited 20212022 mtn super league award finally held lusaka’s taj pamodzi hotel banda wa named player year seeing competition green eagles’ hosea silwimba former 8230p pthe post hrefhttpszambianeyecomredarrowsstrikerwinsbigatmtnsuperleagueawardsred arrow striker win big mtn super league awardsa first appeared hrefhttpszambianeyecomzambian eyeap,sports,uncategorized
p2288 view police ha arrested three people causing fracas bulangililo clinic kitwe copperbelt police commanding officer sharon zulu say one suspect kwacha constituency upnd youth chairperson lingo nyirenda tuesday upnd cadre disrupted donation furniture medical institution joseph malanji meanwhile zulu say three 8230p pthe post hrefhttpszambianeyecomtrioincludingupndyouthchairpersonarrestedfordisruptingmalanjidonationtrio including upnd youth chairperson arrested disrupting malanji donationa first appeared hrefhttpszambianeyecomzambian eyeap,technology,uncategorized
p692 view former mufulira central member parliament evans chibanda ha implored former president edgar lungu stop issuing statement could divide country play role unifier speaking znbc news kitwe dr chibanda said people look former president lungu father nation 8230p pthe post hrefhttpszambianeyecomzambianslookuptolunguasfatherfigureheshouldberesponsibleformermufulirampzambians look lungu father figure responsible former mufulira mpa first appeared hrefhttpszambianeyecomzambian eyeap,politics,politics
p784 viewsa named kitwe based lawyer ha sued consortium running operation black mountain seeking restrain tipper truck allegedly dumping material community operation ha since suspended past week kitwe district commissioner lawrence mwanza ha confirmed development phoenix news saying 8230p pthe post hrefhttpszambianeyecomkitwelawyerssuesagainstdumpingchromeresiduesinkitwecommunitieskitwe lawyer sue dumping chrome residue kitwe communitiesa first appeared hrefhttpszambianeyecomzambian eyeap,local news,"development, local news"
p1078 viewsthe continued illegal land allocation kitwe district ha seen building near railway water body ha irked kitwe city council ha threatened demolish illegally built structure owner raze voluntarily kitwe town clerk patrick kambita ha warned built close 8230p pthe post hrefhttpszambianeyecomkitwecitycouncilthreatenstodemolishillegallybuiltstructureskitwe city council threatens demolish illegally built structuresa first appeared hrefhttpszambianeyecomzambian eyeap,local news,"development, local news"
p1015 viewstuesday…june 28 2022 government say 1 million social cash transfer beneficiary reached end year community development social service minister doreen mwamba ha disclosed caseload expected reach land mark 1027000 31st december 2022 accordance social cash 8230p pthe post hrefhttpszambianeyecomover1millionsocialcashtransferbeneficiariestobereachedthisyearover 1 million social cash transfer beneficiary reached yeara first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, development, local news"
p563 viewsleader opposition honorable brian mundubile delivers speech guest honour mindolo parish yesterday kitwe mporokoso member parliament wa accompanied former nkana constituency mp honorable alexander chiteme copperbelt senior pf member leader opposition speech delivered church asked 8230p pthe post hrefhttpszambianeyecomforgiveusforallthewrongswedidwhenwewereinpowerandprayforustobeunitedasanationmundubileforgive u wrong power pray u united nation mundubilea first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, career"
p1350 viewsby ponga liwewe ten player career part pivotal moment period instrumental zambia8217s football8217s sucess list zambia8217s greatest player chronological order godfrey chitalu nicknamed ‘ucar’ popular battery brand manufactured union carbide godfrey 8230p pthe post hrefhttpszambianeyecomtenplayerswhoshapedzambianfootballten player shaped zambian footballa first appeared hrefhttpszambianeyecomzambian eyeap,sports,"sports, career"
p1113 viewsby sepo akabondo private school association zambia ha disclosed 40 private school country failed sustain others completely shut following introduction free education government year private school association zambia kitwe district secretary nebert silenga ha told 8230p pthe post hrefhttpszambianeyecomabout40ofprivateschoolsstruggletosurvivewithotherscompletelyclosingfollowingintroductionoffreeeducationabout 40 private school struggle survive others completely closing following introduction free educationa first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, education"
p614 viewsthe ministry finance may released k93bn towards ongoing implementation 2022 national budget finance national planning minister situmbeko musokotwane say 92bn total release wa domestically financed 76 million kwacha wa foreign dr musokotwane say released fund 6hundred 46 point 5 million kwacha wa 8230p pthe post hrefhttpszambianeyecomgovtreleasek93bngovt release k93bna first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, economy news"
p1897 viewsby oliver chisenga 900000 follower facebook mutale mwanza arguably zambia’s talked societal medium influencermutale wa recently named fenty beauty brand influencer ha topic discussion regarding make money support glamorous lifestyle sense fashion may 10 2022 8230p pthe post hrefhttpszambianeyecomusesocialmediawiselyitcanearnyoumillionslikeihavemutalemwanzause social medium wisely earn million like – mutale mwanzaa first appeared hrefhttpszambianeyecomzambian eyeap,fashion,fashion
p871 viewsbyjames musonda phd sociopolitical anthropologist université de liége belgium summary article argues political future relevance zambian president presently rest decision government make konkola copper mine give kcm vedanta vedanta hichilema8217s political grave digger vedanta8217s capital 8230p pthe post hrefhttpszambianeyecomvedantathegravediggerofhichilemaspoliticalcareervedanta grave digger hichilema’s political careera first appeared hrefhttpszambianeyecomzambian eyeap,politics,"politics, career"
p635 viewsby dr lubinda haabazoka position zambia’s mining industry ha always industry know politics main source forex zambia mining industry zccm contributed significantly zambia’s development agenda done many article need enhance zambian mine 8230p pthe post hrefhttpszambianeyecommypositiononzambiasminingindustrymy position zambia’s mining industrya first appeared hrefhttpszambianeyecomzambian eyeap,technology,"development, career, business news"
